仮想通貨銘柄, 通貨単位
ビットコイン, (BTC/USD)
イーサリアム, (ETH/USD)
リップル, (XRP/USD)
ライトコイン, (LTC/USD)
ビットコインキャッシュ, (BCH/USD)
ベーシックアテンショントークン, (BAT/USD)
オーエムジー, (OMG/USD)
ステラルーメン, (XLM/USD)
アーべ, (AAVE/USD)
エイダ, (ADA/USD)
アルゴランド, (ALGO/USD)
アバランチ, (AVAX/USD)
アクシーインフィニティ, (AXS/USD)
コンパウンド, (COMP/USD)
エンジンコイン, (ENJ/USD)
フェッチドットエーアイ, (FET/USD)
グラフ, (GRT/USD)
チェーンリンク, (LINK/USD)
ポリゴン, (MATIC/USD)
スケール, (SKL/USD)
シンセティックス, (SNX/USD)
ソラナ, (SOL/USD)
ストージ, (STORJ/USD)
スシスワップ, (SUSHI/USD)
ユニバーサルマーケットアクセス, (UMA/USD)
ユニスワップ, (UNI/USD)
ゼロエックス, (ZRX/USD)